initial,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
merge,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
spawn,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,0
merge,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
spawn,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
merge,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,2
spawn,0,0,0,0,0,0,0,0,8,0,2,0,2,0,0,2
merge,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,4
spawn,0,0,0,0,0,0,0,2,0,0,8,2,0,0,0,4
merge,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,4
spawn,0,0,2,0,0,0,0,0,0,0,0,4,0,0,8,4
merge,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,8
spawn,0,0,4,0,0,0,0,0,0,0,2,0,0,0,8,8
merge,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,16
spawn,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,16
merge,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,16
spawn,0,0,0,0,0,0,0,4,0,0,0,2,2,2,0,16
merge,0,0,0,0,0,0,0,4,0,0,0,2,0,0,4,16
spawn,0,0,0,0,0,0,0,4,2,0,0,2,0,0,4,16
merge,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,16
spawn,0,0,0,0,0,0,0,4,0,2,0,4,0,0,4,16
merge,0,0,0,0,0,0,0,4,0,0,2,4,0,0,4,16
spawn,4,0,0,0,0,0,0,4,0,0,2,4,0,0,4,16
merge,0,0,0,4,0,0,0,4,0,0,2,4,0,0,4,16
spawn,0,0,0,4,0,0,0,4,0,0,2,4,0,2,4,16
merge,0,0,0,0,0,0,0,4,0,0,2,8,0,2,4,16
spawn,0,0,0,0,0,0,0,4,0,2,2,8,0,2,4,16
merge,0,0,0,0,0,0,0,4,0,0,4,8,0,2,4,16
spawn,0,0,4,0,0,0,0,4,0,0,4,8,0,2,4,16
merge,0,0,0,4,0,0,0,4,0,0,4,8,0,2,4,16
spawn,0,2,0,4,0,0,0,4,0,0,4,8,0,2,4,16
merge,0,0,2,4,0,0,0,4,0,0,4,8,0,2,4,16
spawn,0,2,2,4,0,0,0,4,0,0,4,8,0,2,4,16
merge,0,0,0,0,0,0,0,8,0,0,2,8,0,4,8,16
spawn,0,0,0,2,0,0,0,8,0,0,2,8,0,4,8,16
invalid,0,0,0,2,0,0,0,8,0,0,2,8,0,4,8,16
invalid,0,0,0,2,0,0,0,8,0,0,2,8,0,4,8,16
merge,0,0,0,0,0,0,0,2,0,0,2,16,0,4,8,16
spawn,0,0,0,0,0,4,0,2,0,0,2,16,0,4,8,16
merge,0,0,0,0,0,0,4,2,0,0,2,16,0,4,8,16
spawn,0,0,0,4,0,0,4,2,0,0,2,16,0,4,8,16
merge,0,0,0,0,0,0,4,4,0,0,2,2,0,4,8,32
spawn,0,0,2,0,0,0,4,4,0,0,2,2,0,4,8,32
merge,0,0,0,2,0,0,0,8,0,0,0,4,0,4,8,32
spawn,0,0,0,2,0,0,0,8,2,0,0,4,0,4,8,32
merge,0,0,0,2,0,0,0,8,0,0,2,4,0,4,8,32
spawn,0,4,0,2,0,0,0,8,0,0,2,4,0,4,8,32
merge,0,0,4,2,0,0,0,8,0,0,2,4,0,4,8,32
spawn,0,0,4,2,2,0,0,8,0,0,2,4,0,4,8,32
merge,0,0,4,2,0,0,2,8,0,0,2,4,0,4,8,32
spawn,0,0,4,2,2,0,2,8,0,0,2,4,0,4,8,32
merge,0,0,0,2,0,0,4,8,0,0,4,4,2,4,8,32
spawn,0,0,0,2,4,0,4,8,0,0,4,4,2,4,8,32
merge,0,0,0,2,0,0,8,8,0,0,0,8,2,4,8,32
spawn,0,0,0,2,0,0,8,8,0,2,0,8,2,4,8,32
merge,0,0,0,2,0,0,0,16,0,0,2,8,2,4,8,32
spawn,0,2,0,2,0,0,0,16,0,0,2,8,2,4,8,32
merge,0,0,0,4,0,0,0,16,0,0,2,8,2,4,8,32
spawn,0,0,0,4,0,2,0,16,0,0,2,8,2,4,8,32
merge,0,0,0,4,0,0,2,16,0,0,2,8,2,4,8,32
spawn,0,0,0,4,0,2,2,16,0,0,2,8,2,4,8,32
merge,0,0,0,4,0,0,0,16,0,2,4,8,2,4,8,32
spawn,2,0,0,4,0,0,0,16,0,2,4,8,2,4,8,32
merge,0,0,2,4,0,0,0,16,0,2,4,8,2,4,8,32
spawn,0,0,2,4,0,2,0,16,0,2,4,8,2,4,8,32
merge,0,0,0,4,0,0,2,16,0,4,4,8,2,4,8,32
spawn,0,2,0,4,0,0,2,16,0,4,4,8,2,4,8,32
merge,0,0,2,4,0,0,2,16,0,0,8,8,2,4,8,32
spawn,4,0,2,4,0,0,2,16,0,0,8,8,2,4,8,32
merge,0,4,2,4,0,0,2,16,0,0,0,16,2,4,8,32
spawn,0,4,2,4,0,0,2,16,0,0,2,16,2,4,8,32
merge,0,0,0,0,0,0,2,4,0,0,4,32,2,8,8,32
spawn,0,0,0,0,0,0,2,4,0,2,4,32,2,8,8,32
merge,0,0,0,0,0,0,2,0,0,2,4,4,2,8,8,64
spawn,0,0,0,0,0,0,2,2,0,2,4,4,2,8,8,64
merge,0,0,0,0,0,0,0,4,0,0,2,8,0,2,16,64
spawn,0,0,0,4,0,0,0,4,0,0,2,8,0,2,16,64
merge,0,0,0,0,0,0,0,8,0,0,2,8,0,2,16,64
spawn,2,0,0,0,0,0,0,8,0,0,2,8,0,2,16,64
merge,0,0,0,2,0,0,0,8,0,0,2,8,0,2,16,64
spawn,0,0,0,2,0,0,0,8,2,0,2,8,0,2,16,64
merge,0,0,0,0,0,0,0,2,0,0,2,16,2,2,16,64
spawn,0,0,0,2,0,0,0,2,0,0,2,16,2,2,16,64
merge,0,0,0,0,0,0,0,4,0,0,2,16,2,2,16,64
spawn,0,2,0,0,0,0,0,4,0,0,2,16,2,2,16,64
merge,0,0,0,2,0,0,0,4,0,0,2,16,0,4,16,64
spawn,0,0,0,2,0,2,0,4,0,0,2,16,0,4,16,64
